LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,label
3.0,1.0,0.0,0.0,1.0,1.0,1.0,12.0,57.51,4.26,1046.0,0.08,55.0,0.23,58.11,245.27,29.0,26.0,17.0,5.0,17.0,0
3.0,3.0,0.0,0.0,2.0,1.0,1.0,9.0,20.01,12.6,3177.38,0.08,55.0,0.08,176.52,252.17,18.0,37.0,10.0,14.0,14.0,0
1.0,5.0,0.0,0.0,3.0,1.0,1.0,10.0,16.47,8.44,1172.59,0.05,34.0,0.12,65.14,138.97,15.0,19.0,8.0,9.0,13.0,0
5.0,9.0,0.0,4.0,5.0,5.0,1.0,22.0,29.77,9.0,2411.64,0.09,62.0,0.11,133.98,267.96,27.0,35.0,12.0,8.0,34.0,0
4.0,1.0,0.0,0.0,1.0,1.0,1.0,10.0,26.54,5.5,802.71,0.05,35.0,0.18,44.6,145.95,11.0,24.0,9.0,9.0,14.0,1
4.0,5.0,0.0,4.0,3.0,3.0,1.0,13.0,17.74,9.5,1601.27,0.06,39.0,0.11,88.96,168.56,19.0,20.0,10.0,10.0,23.0,0
3.0,9.0,0.0,0.0,5.0,3.0,1.0,24.0,37.19,17.05,10812.04,0.21,128.0,0.06,600.67,634.14,62.0,66.0,20.0,11.0,29.0,0
1.0,15.0,0.0,17.0,8.0,6.0,1.0,42.0,18.59,38.18,27100.17,0.24,151.0,0.03,1505.57,709.77,56.0,95.0,11.0,15.0,64.0,0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,5.99,3.75,84.22,0.01,8.0,0.27,4.68,22.46,3.0,5.0,2.0,5.0,4.0,1
10.0,11.0,0.0,8.0,6.0,4.0,1.0,29.0,33.66,14.29,6868.61,0.16,93.0,0.07,381.59,480.8,40.0,53.0,21.0,15.0,49.0,0
3.0,3.0,1.0,0.0,2.0,1.0,1.0,16.0,54.87,10.02,5506.63,0.18,104.0,0.1,305.92,549.68,51.0,53.0,28.0,11.0,20.0,0
0.0,5.0,0.0,0.0,3.0,1.0,1.0,13.0,24.91,2.92,211.89,0.02,21.0,0.34,11.77,72.65,7.0,14.0,6.0,5.0,15.0,0
2.0,8.0,0.0,0.0,5.0,3.0,1.0,23.0,24.52,13.33,4359.69,0.11,66.0,0.08,242.21,326.98,25.0,41.0,15.0,16.0,27.0,0
0.0,9.0,0.0,0.0,5.0,1.0,1.0,10.0,12.64,12.0,1820.62,0.05,41.0,0.08,101.15,151.72,15.0,26.0,5.0,8.0,12.0,0
4.0,3.0,0.0,0.0,2.0,2.0,1.0,12.0,19.11,16.8,5394.13,0.11,72.0,0.06,299.67,321.08,28.0,44.0,10.0,12.0,18.0,0
4.0,5.0,0.0,3.0,3.0,3.0,1.0,9.0,23.84,8.73,1816.0,0.07,46.0,0.11,100.89,208.08,16.0,30.0,11.0,12.0,18.0,0
