LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
49.0,77.0,6.0,6.0,72.0,118.0,39.0,0.19,42.0,7.0,0.18,140.0,16.0,0.39,200.0,0.0,19.0,0.49,76.43,62.09,294691.02,1.58,794.0,0.02,16371.72,4745.96,0.41,38.0,65.0,103.0,0.12,267.0,527.0,43.0,20.0,329.0,28.06,206.0,1
15.0,9.0,2.0,2.0,41.0,24.0,5.0,0.25,8.0,1.0,0.2,19.0,1.0,0.0,18.0,0.0,0.0,0.0,47.89,12.0,6896.24,0.19,116.0,0.08,383.12,574.69,0.2,8.0,12.0,16.0,0.06,38.0,78.0,19.0,12.0,78.0,70.49,20.0,0
9.0,49.0,6.0,9.0,52.0,76.0,25.0,0.36,28.0,13.0,0.52,100.0,6.0,0.21,61.0,1.0,15.0,0.6,18.7,91.25,155679.37,0.57,330.0,0.01,8648.85,1706.08,0.24,24.0,38.0,77.0,0.19,146.0,184.0,16.0,20.0,133.0,50.0,70.0,0
1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,13.29,4.5,269.08,0.02,18.0,0.22,14.95,59.79,1.0,3.0,4.0,2.0,0.2,6.0,12.0,4.0,6.0,5.0,0.0,2.0,0
3.0,7.0,3.0,1.0,2.0,10.0,4.0,0.29,4.0,2.0,0.5,14.0,3.0,0.67,13.0,0.0,4.0,1.0,15.01,12.0,2161.02,0.06,41.0,0.08,120.06,180.09,0.75,3.0,5.0,12.0,0.19,18.0,23.0,9.0,12.0,21.0,18.75,14.0,0
8.0,16.0,4.0,5.0,12.0,20.0,10.0,0.2,10.0,10.0,1.0,35.0,1.0,0.0,45.0,0.0,10.0,1.0,43.52,22.2,21449.61,0.32,173.0,0.05,1191.64,966.2,0.1,5.0,10.0,27.0,0.14,74.0,99.0,30.0,18.0,72.0,27.42,50.0,0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,1.0,1.0,3.7,3.0,33.28,0.0,7.0,0.33,1.85,11.09,1.0,0.0,0.0,2.0,0.17,3.0,4.0,1.0,2.0,6.0,0.0,5.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,7.75,2.0,31.02,0.01,6.0,0.5,1.72,15.51,1.0,0.0,0.0,3.0,0.25,2.0,4.0,2.0,4.0,4.0,0.0,2.0,0
4.0,1.0,1.0,0.0,4.0,0.0,1.0,0.01,0.0,1.0,1.0,36.0,1.0,0.0,69.0,0.0,1.0,1.0,138.06,18.21,45776.25,0.84,441.0,0.05,2543.13,2513.89,1.0,0.0,0.0,37.0,0.01,174.0,267.0,43.0,9.0,79.0,5.48,69.0,1
0.0,11.0,0.0,0.0,6.0,12.0,6.0,0.6,2.0,1.0,0.17,13.0,6.0,1.0,10.0,0.0,5.0,0.83,26.97,6.3,1070.48,0.06,40.0,0.16,59.47,169.92,1.0,5.0,6.0,9.0,0.33,14.0,26.0,10.0,9.0,18.0,37.5,10.0,0
